date,max_real_balance_residual_kwh,max_real_state_residual_kwh,max_plan_state_residual_kwh,max_scenario_balance_residual_kwh,real_E_min_kwh,real_E_max_kwh,plan_E_min_kwh,plan_E_max_kwh,plan_terminal_gap_kwh,simultaneous_plan_periods,emergency_charge_exec_periods,emergency_charge_scenario_periods,emergency_surplus_scenario_periods,max_charge_exec_kwh,max_discharge_exec_kwh
2025-10-18,0.0,8.526512829121202e-13,7.275957614183426e-12,5.205791353546374e-11,2558.649995424953,10800.0,1200.0,10800.000000000002,0.0,0,0,0,0,833.3333333333333,466.40003333333334
2025-10-19,1.1368683772161603e-13,9.094947017729282e-13,2.3874235921539366e-12,9.663381206337363e-13,1200.0,10800.0,1200.0,10800.000000000002,0.0,0,0,0,0,833.3333333333333,813.1946200227827
2025-10-20,2.2737367544323206e-13,8.242295734817162e-13,1.5916157281026244e-12,3.979039320256561e-13,1332.9973063407,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,807.089360499365
2025-10-21,1.1368683772161603e-13,9.094947017729282e-13,5.669789970852435e-09,5.229594535194337e-12,1860.3749029913424,10800.0,1200.0,10800.000000000002,0.0,0,0,0,0,833.3333333333333,823.8490339376319
2025-10-22,2.2737367544323206e-13,9.094947017729282e-13,8.242295734817162e-13,4.547473508864641e-13,1482.4150715010346,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,824.1296269657603
2025-10-23,2.2737367544323206e-13,7.958078640513122e-13,9.094947017729282e-13,5.684341886080801e-13,1506.0820678844184,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,818.0559833333333
2025-10-24,5.684341886080802e-14,9.094947017729282e-13,1.3926637620897964e-12,2.2737367544323206e-13,2388.356191640286,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,509.03313333333335
2025-10-25,0.0,9.094947017729282e-13,1.1937117960769683e-12,4.547473508864641e-13,2042.8850145114927,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,485.56499999999994
2025-10-26,2.2737367544323206e-13,8.881784197001252e-13,1.0231815394945443e-12,5.400124791776761e-13,1323.2254726171554,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,797.7838396865295
2025-10-27,2.2737367544323206e-13,9.094947017729282e-13,1.8189894035458565e-12,4.547473508864641e-13,1446.77305193552,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,819.1756416671742
2025-10-28,2.2737367544323206e-13,7.958078640513122e-13,1.3642420526593924e-12,6.59383658785373e-11,1368.0253735404394,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,813.1687999999999
2025-10-29,1.1368683772161603e-13,9.094947017729282e-13,1.8189894035458565e-12,5.684341886080801e-13,1382.4953335293303,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,816.23045
