date,policy,total_cost_yuan,regular_cost_yuan,baseline_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,emergency_kwh,emergency_intervals,end_storage_kwh,solver_time_s,max_mip_gap,wall_time_s
2025-09-12,24h,29889.963379778987,27747.717274020564,24935.766105484356,2811.9511685362095,2142.246105758424,531.8355593466963,6,4888.510351599074,1.011430800659582,0.0,0.0538681999896653
2025-09-13,24h,27407.980940970523,24127.550501365014,20581.8644021625,3545.686099202514,3280.43043960551,815.9484422188227,16,9448.29695076069,1.094522398430854,0.0,0.04781030002050102
2025-09-14,24h,67386.16976577077,36032.729699970034,34516.237144065235,1516.4925559047965,31353.44006580074,6974.805312364875,87,6234.8919010520585,1.119905999978073,0.0,0.05215800000587478
2025-09-15,24h,61578.574378616344,40124.6958201676,36428.47111267516,3696.2247074924467,21453.87855844874,4708.606782933135,61,8416.310416491498,1.1897459984757006,0.0,0.05109650001395494
2025-09-16,24h,59527.412537793585,41516.97883107213,41654.20787042161,-137.22903934948704,18010.433706721455,4102.0413144691665,68,8425.014525214976,1.1984759999904782,0.0,0.054185799992410466
2025-09-17,24h,57620.324936915786,41459.14982015613,40096.120808579304,1363.02901157683,16161.175116759654,3612.1198549054398,63,8431.95975641544,1.143118800711818,0.0,0.049524700007168576
2025-09-18,24h,60245.635286337034,40805.857353278254,36774.45591074714,4031.4014425311125,19439.77793305878,4309.538128301609,68,3697.884224244841,1.0867068007355556,0.0,0.04633169999578968
2025-09-19,24h,28512.285195925782,26051.034107876443,25507.425407291095,543.6087005853474,2461.251088049338,582.281306914537,8,5375.743054364716,1.0073339998489246,0.0,0.052194699994288385
2025-09-20,24h,26001.85764767391,21441.45094055132,21315.13718416667,126.31375638465015,4560.406707122589,1168.6403686663948,23,5270.725471621723,0.9734723987057805,0.0,0.05015100000309758
2025-09-21,24h,72608.48740823826,36870.25509319244,32855.40895786321,4014.846135329229,35738.23231504581,8012.662027484225,89,5176.817934168951,1.1650283999042585,0.0,0.05254529998637736
2025-09-22,24h,60147.53774943917,44407.71632742026,42341.82044569953,2065.895881720731,15739.821422018911,3494.2413006366896,53,7768.873410289124,1.1985263982787728,0.0,0.054689599986886606
2025-09-23,24h,62890.1091632941,42550.0555813359,41563.815063540285,986.240517795618,20340.0535819582,4307.6220101025965,64,8515.840436051545,1.0661687994142994,0.0,0.04891360001056455
2025-09-24,24h,60329.259929841086,42022.076508875805,37224.147151110476,4797.92935776533,18307.18342096528,4188.011774956516,65,8616.970888776965,1.1417760020121932,0.0,0.052393299993127584
2025-09-25,24h,58091.62512711551,41225.288122336104,39235.45290351556,1989.835218820544,16866.33700477941,3974.0049291416954,62,4126.698578977998,1.1498292015166953,0.0,0.05370350001612678
2025-09-26,24h,27931.51823251804,25740.615183303606,26366.662107715707,-626.0469244121009,2190.903049214433,531.300440583489,6,4895.9419810351665,1.1015819997992367,0.0,0.04933839998557232
2025-09-27,24h,29489.429257753072,23809.752058831644,20917.55513972849,2892.1969191031544,5679.67719892143,1447.8036366128945,29,7184.42965238056,1.1395944021642208,0.0,0.052058600005693734
2025-09-28,24h,80020.38785195947,40480.192490857815,32849.30241293991,7630.890077917901,39540.19536110165,8998.505177482044,99,7592.1164797481115,1.3592231991933659,0.0,0.058865099999820814
2025-09-29,24h,63771.50031578532,44550.83115000314,41651.296272439955,2899.5348775631837,19220.669165782176,4113.744789865925,61,8550.684090434159,1.1856311985757202,0.0,0.05068570000003092
2025-09-30,24h,65987.50113999943,45838.30193782743,41665.09000255028,4173.211935277156,20149.199202171996,4535.036317733889,70,6627.285883833838,1.240887600230053,0.0,0.051243699999758974
2025-10-01,24h,53706.66396949697,40005.49428695802,38756.241362869,1249.2529240890217,13701.169682538952,3054.8799130051375,33,8841.661929655289,1.176771599217318,0.0,0.05012890000944026
2025-10-02,24h,50100.00793266154,38535.77344756466,41854.458122584314,-3318.684675019659,11564.23448509688,2681.8577223996153,38,4195.582873478981,1.0484531986294314,0.0,0.04739980000886135
2025-10-03,24h,26866.97376051592,24051.024881578956,22388.292576073945,1662.732305505012,2815.9488789369643,669.0976073548775,8,5626.648317072311,1.070028000511229,0.0,0.050846400001319125
