date,24h,48h,delta_24h_minus_48h_yuan
2025-10-05,54712.84388988175,54616.17201453675,96.6718753449968
2025-10-06,54719.91529034957,54293.31227846397,426.6030118855997
2025-10-07,56440.35929093415,56142.710762787014,297.6485281471396
2025-10-08,57415.41170975978,56919.95376432981,495.45794542996737
2025-10-09,54354.821347710065,54997.17477464855,-642.3534269384836
2025-10-10,25318.48026038755,27269.8486249438,-1951.3683645562487
2025-10-11,23903.879823095605,24076.335951466506,-172.45612837090084
2025-10-12,72665.6115431338,72559.9333932111,105.67814992269268
2025-10-13,55995.27978245431,55724.51446272178,270.76531973252713
2025-10-14,60092.09345323313,60082.225541448686,9.867911784444004
2025-10-15,61142.2852873595,61112.74639764882,29.538889710674994
2025-10-16,59119.851572976695,59644.87146253114,-525.0198895544454
2025-10-17,26479.998081647474,27983.598452867966,-1503.600371220491
2025-10-18,27132.890112506248,25781.91417792841,1350.9759345778366
2025-10-19,75626.12934367119,75157.87338827147,468.25595539971255
2025-10-20,62139.66993511072,62092.751532628026,46.918402482697275
2025-10-21,62523.56614348273,62495.51656887201,28.04957461071899
2025-10-22,64025.70587965612,63910.47883596202,115.22704369409621
2025-10-23,64100.258025704716,64504.62145630931,-404.3634306045933
2025-10-24,25850.573451525997,26652.654577693276,-802.0811261672789
2025-10-25,26802.69003497479,25841.103533329915,961.5865016448734
2025-10-26,72215.63642190806,72136.60215839074,79.03426351731468
2025-10-27,61608.907956286246,61552.96863920586,55.93931708038872
2025-10-28,61788.64665042234,61769.15310689634,19.49354352600494
2025-10-29,62868.490606358406,62857.93704818235,10.553558176055958
2025-10-30,62315.47113897379,62579.78698421747,-264.31584524367645
2025-10-31,28359.41229859877,29524.935049616462,-1165.522751017692
2025-11-01,26411.691663475256,24954.12578625768,1457.5658772175775
2025-11-02,78667.98027667376,78497.50716366255,170.473113011205
2025-11-03,65812.06967267656,65757.70069079782,54.36898187873885
2025-11-04,62309.14906909391,62307.18836384437,1.9607052495412063
2025-11-05,67722.41449333055,67700.80252753862,21.61196579193347
2025-11-06,68630.031207293,68852.55014730932,-222.51894001632172
2025-11-07,25076.75184342015,25613.208202433092,-536.4563590129437
2025-11-08,27528.340125139577,26800.619080018958,727.7210451206192
2025-11-09,76525.34980540343,76430.69498335692,94.6548220465047
2025-11-10,67868.75165349338,67826.94204475352,41.80960873985896
2025-11-11,65114.07985718333,65098.051425265185,16.028431918144634
2025-11-12,64434.741363041336,64425.791472409386,8.949890631949529
2025-11-13,65776.85768222084,65151.652227327104,625.2054548937376
2025-11-14,28654.467977546406,29154.39060563078,-499.92262808437226
2025-11-15,26753.952682172767,26478.290460052,275.66222212076536
2025-11-16,80914.9982237239,80840.65498946908,74.34323425481853
2025-11-17,66133.22514786755,66053.48549119924,79.7396566683019
2025-11-18,69808.07340105221,69792.2661918983,15.807209153907024
2025-11-19,66612.37463182968,66590.80158551701,21.57304631266743
2025-11-20,69645.67471834616,69124.64911721874,521.0256011274178
2025-11-21,29091.08949951116,29069.57282444241,21.516675068749464
2025-11-22,27582.205316460604,27405.68659203958,176.51872442102467
2025-11-23,80665.1601844912,80562.2117365359,102.94844795529207
2025-11-24,67736.03739338128,67693.45752237746,42.57987100382161
2025-11-25,67206.23158872357,67169.37042768854,36.861161035034456
2025-11-26,66555.26485473331,66539.35230110395,15.912553629357717
2025-11-27,64360.10991789825,64355.81496211328,4.294955784964259
2025-11-28,29082.333939001066,28820.72777432879,261.6061646722774
2025-11-29,30758.409657884626,30665.83283469578,92.5768231888469
2025-11-30,84766.04612673383,84663.95116625515,102.09496047867287
2025-12-01,93614.54423060562,93534.48393312164,80.06029748398578
2025-12-02,89711.68549709833,89707.42665576446,4.258841333867167
2025-12-03,86430.23150613064,86411.48399877279,18.747507357853465
2025-12-04,91906.58017628727,91608.20347865552,298.37669763175654
2025-12-05,37443.61147017051,37103.2978909732,340.3135791973109
2025-12-06,38964.7530551259,38656.32561102474,308.42744410115847
2025-12-07,109436.76605728274,109336.46240381067,100.30365347207407
2025-12-08,74689.76698723635,74591.1331229151,98.63386432125117
2025-12-09,77235.85072676252,77230.1216948787,5.729031883820426
2025-12-10,78007.76751983524,78003.15804002006,4.609479815175291
2025-12-11,72877.81663662003,72866.69805911783,11.118577502202243
2025-12-12,37229.729158448856,37218.11333930573,11.6158191431241
2025-12-13,36727.32740559826,36396.7070452467,330.6203603515605
2025-12-14,96213.96865679405,96076.82956285335,137.13909394069924
2025-12-15,76903.72272053409,76837.4257934434,66.29692709069059
2025-12-16,75444.30366084476,75403.37186410671,40.93179673804843
2025-12-17,77780.60813384895,77771.72682820985,8.881305639093625
2025-12-18,75761.15565379367,75744.53548262431,16.62017116935749
2025-12-19,37325.657258532956,37293.1711809366,32.486077596353425
2025-12-20,34627.06053831395,34310.79797273919,316.26256557476154
2025-12-21,97922.73971565752,97802.47357615744,120.26613950007595
2025-12-22,77704.97353677831,77639.14546140993,65.82807536837936
2025-12-23,74678.89785388025,74670.26042946514,8.637424415108399
2025-12-24,73664.76141501984,73644.76122370841,20.000191311424715
2025-12-25,79985.38503442596,79964.5272575338,20.857776892153197
2025-12-26,35947.17968605224,35926.2954104237,20.88427562853758
2025-12-27,34251.34119965489,33855.56721417341,395.77398548147903
2025-12-28,93790.72471291904,93671.9332819769,118.79143094213214
2025-12-29,74400.22961459625,74351.61024954038,48.61936505587073
2025-12-30,77573.7166768445,77540.74973090258,32.96694594192377
2025-12-31,77453.11295787043,77452.93416177781,0.17879609261581209
